approach,n,m,time
FAD-AutoDiff-Cpp,950,1,0.0206053
RAD-AutoDiff-Cpp,950,1,0.00012809
FAD-AutoDiff-Cpp,1000,1,0.021674
RAD-AutoDiff-Cpp,1000,1,0.00012931
reverse_ad_pytorch,1,1,0.01451490879058838
reverse_ad_pytorch,50,1,0.014488775730133057
reverse_ad_pytorch,100,1,0.014919831752777099
reverse_ad_pytorch,150,1,0.014527113437652587
reverse_ad_pytorch,200,1,0.014586961269378662
reverse_ad_pytorch,250,1,0.01506117582321167
reverse_ad_pytorch,300,1,0.014635825157165527
reverse_ad_pytorch,350,1,0.014693853855133056
reverse_ad_pytorch,400,1,0.014657378196716309
reverse_ad_pytorch,450,1,0.014599876403808594
reverse_ad_pytorch,500,1,0.015061228275299073
reverse_ad_pytorch,550,1,0.014687151908874511
reverse_ad_pytorch,600,1,0.015014777183532715
reverse_ad_pytorch,650,1,0.014748225212097168
reverse_ad_pytorch,700,1,0.014686915874481201
reverse_ad_pytorch,750,1,0.01457221269607544
reverse_ad_pytorch,800,1,0.01460214614868164
reverse_ad_pytorch,850,1,0.014841074943542481
reverse_ad_pytorch,900,1,0.01473055362701416
reverse_ad_pytorch,950,1,0.014716610908508301
reverse_ad_pytorch,1000,1,0.014657528400421142
forward_ad_jax_jit_gpu,1,1,0.0038674656550089516
reverse_ad_jax_jit_gpu,1,1,0.011489880879720053
forward_ad_jax_jit_gpu,50,1,0.0053269553184509275
reverse_ad_jax_jit_gpu,50,1,0.014046687285105388
forward_ad_jax_jit_gpu,100,1,0.005360238552093506
reverse_ad_jax_jit_gpu,100,1,0.013880110581715902
forward_ad_jax_jit_gpu,150,1,0.005515389442443848
reverse_ad_jax_jit_gpu,150,1,0.014000104268391928
forward_ad_jax_jit_gpu,200,1,0.005458031495412191
reverse_ad_jax_jit_gpu,200,1,0.013946918646494548
forward_ad_jax_jit_gpu,250,1,0.00535718043645223
reverse_ad_jax_jit_gpu,250,1,0.013863057295481363
forward_ad_jax_jit_gpu,300,1,0.005420687198638916
reverse_ad_jax_jit_gpu,300,1,0.013978484471638998
forward_ad_jax_jit_gpu,350,1,0.005375031630198161
reverse_ad_jax_jit_gpu,350,1,0.013870794773101807
forward_ad_jax_jit_gpu,400,1,0.005474546750386556
reverse_ad_jax_jit_gpu,400,1,0.013906853199005127
forward_ad_jax_jit_gpu,450,1,0.0054963803291320805
reverse_ad_jax_jit_gpu,450,1,0.013997808297475179
forward_ad_jax_jit_gpu,500,1,0.005503005186716716
reverse_ad_jax_jit_gpu,500,1,0.013868508338928222
forward_ad_jax_jit_gpu,550,1,0.005542972087860107
reverse_ad_jax_jit_gpu,550,1,0.013909386793772379
forward_ad_jax_jit_gpu,600,1,0.005469002723693848
reverse_ad_jax_jit_gpu,600,1,0.013987590471903483
forward_ad_jax_jit_gpu,650,1,0.005512058734893799
reverse_ad_jax_jit_gpu,650,1,0.013839234511057535
forward_ad_jax_jit_gpu,700,1,0.005470658143361409
reverse_ad_jax_jit_gpu,700,1,0.013969406286875407
forward_ad_jax_jit_gpu,750,1,0.0055506761868794755
reverse_ad_jax_jit_gpu,750,1,0.014020076592763265
forward_ad_jax_jit_gpu,800,1,0.005422631104787191
reverse_ad_jax_jit_gpu,800,1,0.013786389827728271
forward_ad_jax_jit_gpu,850,1,0.0055055173238118486
reverse_ad_jax_jit_gpu,850,1,0.0140122127532959
forward_ad_jax_jit_gpu,900,1,0.0055606420834859215
reverse_ad_jax_jit_gpu,900,1,0.01379956324895223
forward_ad_jax_jit_gpu,950,1,0.005460539658864339
reverse_ad_jax_jit_gpu,950,1,0.013898796240488688
forward_ad_jax_jit_gpu,1000,1,0.005683763027191162
reverse_ad_jax_jit_gpu,1000,1,0.01395391861597697
FAD-ad trait-Rust,1,1,0.0000229992
RAD-ad trait-Rust,1,1,0.00011973383
FAD-SIMD-ad trait-Rust,1,1,0.00002281113
FAD-ad trait-Rust,50,1,0.00183994539
RAD-ad trait-Rust,50,1,0.00024481117
FAD-SIMD-ad trait-Rust,50,1,0.00006704435
FAD-ad trait-Rust,100,1,0.00232207587
RAD-ad trait-Rust,100,1,0.00011919618
FAD-SIMD-ad trait-Rust,100,1,0.0001367808
FAD-ad trait-Rust,150,1,0.00350637077
RAD-ad trait-Rust,150,1,0.00012954938
FAD-SIMD-ad trait-Rust,150,1,0.00032869265
